V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
337.2268,4.12,12.978601,128867.0,0.20726928,0.94,-0.5850267,0.04,2022-12-20 00:00:00
337.53265,4.1,13.039164,134671.0,0.19889696,0.94,-0.5850267,0.04,2022-12-20 00:05:00
335.43167,3.84,13.028491,114890.0,0.2286538,0.87,-0.63827217,0.02,2022-12-20 00:10:00
334.6927,3.5,13.069281,118510.0,0.22015266,0.78,-0.67778075,0.03,2022-12-20 00:15:00
336.65457,3.28,13.186156,124238.0,0.21385835,0.74,-0.69897,0.04,2022-12-20 00:20:00
341.9485,3.12,13.238885,101377.0,0.2751284,0.73,-0.7695511,0.02,2022-12-20 00:25:00
340.67606,3.15,13.2969055,88414.0,0.3118269,0.73,-0.79588,0.01,2022-12-20 00:30:00
336.85852,3.62,13.275745,118731.0,0.22419985,0.82,-0.67778075,0.04,2022-12-20 00:35:00
314.41092,3.06,13.314218,68502.0,0.31351775,0.61,-0.853872,0.02,2022-12-20 00:40:00
316.36755,4.38,13.320149,82934.0,0.26400986,0.88,-0.65757734,0.06,2022-12-20 00:45:00
318.6136,4.7,13.25255,108242.0,0.20678599,0.95,-0.5850267,0.02,2022-12-20 00:50:00
326.91592,4.52,13.177079,98203.0,0.24692775,0.97,-0.60206,0.05,2022-12-20 00:55:00
331.735,4.16,13.188453,85532.0,0.29672205,0.92,-0.67778075,0.04,2022-12-20 01:00:00
326.86734,4.06,13.19202,100218.0,0.24185114,0.87,-0.65757734,0.02,2022-12-20 01:05:00
322.5637,4.79,13.145201,114756.0,0.20267485,1.0,-0.552842,0.01,2022-12-20 01:10:00
320.3625,4.95,13.131036,122880.0,0.18528341,1.02,-0.52287877,0.05,2022-12-20 01:15:00
332.30173,3.76,13.747018,127514.0,0.20009136,0.83,-0.67778075,0.06,2022-12-20 01:20:00
336.21576,3.11,13.824511,121993.0,0.21691138,0.7,-0.7695511,0.01,2022-12-20 01:25:00
338.9038,3.27,13.860436,113135.0,0.23976523,0.75,-0.7695511,0.02,2022-12-20 01:30:00
339.01816,2.87,13.73727,123983.0,0.21901666,0.66,-0.79588,0.02,2022-12-20 01:35:00
337.73285,2.75,13.482563,105904.0,0.25339124,0.63,-0.82390875,0.05,2022-12-20 01:40:00
337.31964,2.92,13.465482,86445.0,0.30924946,0.66,-0.853872,0.01,2022-12-20 01:45:00
337.7128,3.14,13.417582,104196.0,0.25749725,0.72,-0.7695511,0.02,2022-12-20 01:50:00
338.19153,2.81,13.414026,101205.0,0.26627892,0.64,-0.82390875,0.02,2022-12-20 01:55:00
341.01953,2.76,13.432651,102952.0,0.2686348,0.64,-0.82390875,0.02,2022-12-20 02:00:00
343.84912,2.71,13.477845,104699.0,0.2710354,0.64,-0.853872,0.01,2022-12-20 02:05:00
331.29446,2.92,13.48785,87870.0,0.28763473,0.64,-0.853872,0.01,2022-12-20 02:10:00
333.18295,3.97,13.445966,93197.0,0.27603537,0.88,-0.69897,0.02,2022-12-20 02:15:00
341.41928,3.38,13.382534,102758.0,0.2701253,0.79,-0.7447275,0.02,2022-12-20 02:20:00
336.108,3.34,13.401825,74121.0,0.3566503,0.76,-0.79588,0.03,2022-12-20 02:25:00
336.628,3.98,13.359274,77359.0,0.34337047,0.91,-0.7212464,0.03,2022-12-20 02:30:00
338.22446,4.35,13.37932,71826.0,0.3753088,1.0,-0.69897,0.04,2022-12-20 02:35:00
341.99612,4.75,13.47515,68995.0,0.40443206,1.11,-0.67778075,0.01,2022-12-20 02:40:00
344.78436,4.54,13.408598,66284.0,0.43174964,1.08,-0.69897,0.02,2022-12-20 02:45:00
339.44055,4.77,13.506565,66827.0,0.40791598,1.1,-0.65757734,0.03,2022-12-20 02:50:00
339.63727,4.55,13.462712,61180.0,0.44637153,1.05,-0.69897,0.07,2022-12-20 02:55:00
338.3944,4.79,13.332877,85532.0,0.31566104,1.1,-0.6197888,0.02,2022-12-20 03:00:00
339.13882,4.96,13.35504,74004.0,0.3673374,1.14,-0.63827217,0.05,2022-12-20 03:05:00
336.8813,5.75,13.444441,71250.0,0.3736852,1.3,-0.5850267,0.07,2022-12-20 03:10:00
340.41748,5.38,13.497001,75816.0,0.3627833,1.25,-0.60206,0.01,2022-12-20 03:15:00
340.3799,5.72,13.524577,81754.0,0.3363178,1.33,-0.56863624,0.02,2022-12-20 03:20:00
345.39297,5.06,13.589588,87536.0,0.32872936,1.21,-0.60206,0.07,2022-12-20 03:25:00
341.8272,4.72,13.708297,75143.0,0.37077186,1.1,-0.67778075,0.03,2022-12-20 03:30:00
345.70615,4.41,13.654314,84906.0,0.33986935,1.05,-0.67778075,0.02,2022-12-20 03:35:00
339.12198,4.94,13.6656685,72227.0,0.37631688,1.14,-0.65757734,0.05,2022-12-20 03:40:00
334.75522,5.11,13.610588,66686.0,0.3914685,1.15,-0.65757734,0.02,2022-12-20 03:45:00
335.45697,5.47,13.5945215,50530.0,0.520012,1.23,-0.65757734,0.01,2022-12-20 03:50:00
332.88565,5.69,13.616901,50530.0,0.5077039,1.26,-0.63827217,0.01,2022-12-20 03:55:00
330.55484,5.57,13.619134,47432.0,0.5291622,1.22,-0.65757734,0.02,2022-12-20 04:00:00
330.55484,5.57,13.564309,47432.0,0.5291622,1.22,-0.65757734,0.04,2022-12-20 04:05:00
326.74545,5.95,13.547527,48798.0,0.49612096,1.27,-0.6197888,0.02,2022-12-20 04:10:00
330.98077,5.61,13.562792,51426.0,0.4900253,1.23,-0.63827217,0.02,2022-12-20 04:15:00
329.89777,5.62,13.531271,49185.0,0.50715125,1.23,-0.65757734,0.01,2022-12-20 04:20:00
327.98752,5.78,13.560668,47342.0,0.51745474,1.25,-0.63827217,0.02,2022-12-20 04:25:00
329.97366,5.19,13.656955,49332.0,0.50600237,1.13,-0.69897,0.08,2022-12-20 04:30:00
336.94644,4.01,13.666678,58237.0,0.45746008,0.91,-0.79588,0.07,2022-12-20 04:35:00
338.82516,4.47,13.475418,78200.0,0.3466272,1.03,-0.67778075,0.09,2022-12-20 04:40:00
337.01093,4.72,13.404022,80429.0,0.3314349,1.07,-0.63827217,0.08,2022-12-20 04:45:00
337.7787,4.25,13.464861,74350.0,0.36108246,0.97,-0.69897,0.02,2022-12-20 04:50:00
333.61517,4.71,13.342961,71318.0,0.3621765,1.05,-0.65757734,0.06,2022-12-20 04:55:00
335.83725,5.26,13.256519,72059.0,0.36593685,1.19,-0.60206,0.08,2022-12-20 05:00:00
335.70874,4.45,13.442473,92568.0,0.28452218,1.0,-0.65757734,0.09,2022-12-20 05:05:00
336.1793,4.33,13.682113,84950.0,0.31139183,0.98,-0.67778075,0.04,2022-12-20 05:10:00
338.45776,4.07,13.708322,103194.0,0.26178703,0.93,-0.67778075,0.05,2022-12-20 05:15:00
337.7207,4.47,13.81637,88284.0,0.3039298,1.02,-0.67778075,0.05,2022-12-20 05:20:00
335.34683,4.98,13.565002,83728.0,0.31350756,1.12,-0.6197888,0.16,2022-12-20 05:30:00
335.83417,6.51,13.104889,94886.0,0.27789444,1.47,-0.4685211,0.24,2022-12-20 05:35:00
346.79276,4.18,13.917561,71524.0,0.40741906,0.98,-0.7212464,0.55,2022-12-20 05:40:00
343.28775,3.39,13.995504,152378.0,0.18528375,0.8,-0.67778075,0.1,2022-12-20 05:45:00
342.46823,5.52,13.341807,131748.0,0.21270818,1.29,-0.5086383,0.21,2022-12-20 05:50:00
343.9974,5.59,13.755153,104480.0,0.27196828,1.32,-0.552842,0.28,2022-12-20 05:55:00
352.8097,3.67,14.367501,105405.0,0.29166722,0.92,-0.7695511,0.01,2022-12-20 06:00:00
346.32248,4.59,14.177675,104898.0,0.27662498,1.1,-0.65757734,0.15,2022-12-20 06:05:00
340.29913,6.93,13.871128,89717.0,0.30624098,1.61,-0.4685211,0.32,2022-12-20 06:10:00
341.93463,3.73,14.341221,110558.0,0.2522492,0.87,-0.7447275,0.04,2022-12-20 06:15:00
344.87698,3.73,14.263135,89195.0,0.32111707,0.89,-0.79588,0.17,2022-12-20 06:20:00
349.37408,6.51,13.857666,66284.0,0.44989425,1.59,-0.552842,0.02,2022-12-20 06:25:00
339.61182,6.58,13.892361,61180.0,0.44626734,1.52,-0.56863624,0.01,2022-12-20 06:35:00
340.98822,6.24,13.925405,57916.0,0.47739112,1.45,-0.60206,0.04,2022-12-20 06:40:00
346.5603,4.87,13.989975,53775.0,0.54076207,1.17,-0.7212464,0.01,2022-12-20 06:45:00
344.8215,6.03,13.973664,58132.0,0.49246022,1.43,-0.6197888,0.04,2022-12-20 06:50:00
