V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
464.83105,5.03,4.8053927,77162.0,0.9400296,2.17,0.2624511,0.04,2016-03-13 00:00:00
464.82242,4.96,4.943501,76338.0,0.95012134,2.14,0.23804612,0.04,2016-03-13 00:05:00
464.02036,4.99,4.8701234,80247.0,0.8989928,2.15,0.26481783,0.1,2016-03-13 00:10:00
465.17392,5.05,4.8457093,81603.0,0.8909139,2.19,0.27184162,0.01,2016-03-13 00:15:00
462.6387,5.14,4.7082376,81583.0,0.8761003,2.2,0.2988531,0.08,2016-03-13 00:20:00
459.0254,5.1,4.55167,73690.0,0.9465516,2.15,0.2988531,0.03,2016-03-13 00:25:00
458.4859,5.39,4.5116405,80815.0,0.8599456,2.27,0.34044415,0.03,2016-03-13 00:35:00
460.991,5.3,4.48396,85800.0,0.8238393,2.25,0.3598355,0.06,2016-03-13 00:40:00
460.3503,5.44,4.5074825,87253.0,0.80662036,2.31,0.376577,0.02,2016-03-13 00:45:00
462.93265,5.22,4.5745053,84294.0,0.8496019,2.24,0.34044415,0.04,2016-03-13 00:50:00
461.24448,5.39,4.6686296,81498.0,0.8688125,2.29,0.3324385,0.05,2016-03-13 00:55:00
462.17715,5.26,4.5768986,83623.0,0.85207593,2.25,0.34044415,0.06,2016-03-13 01:00:00
470.08533,5.39,3.6804755,92888.0,0.8086893,2.38,0.5065051,0.44,2016-03-13 01:05:00
476.60718,5.67,3.7600398,97638.0,0.80306405,2.58,0.56348115,0.08,2016-03-13 01:10:00
470.0955,5.69,3.903985,94965.0,0.7910554,2.52,0.53402615,0.14,2016-03-13 01:15:00
473.68503,5.34,3.8880458,99818.0,0.7706296,2.4,0.4871384,0.11,2016-03-13 01:20:00
473.98132,5.39,3.5851498,102308.0,0.75333875,2.42,0.60206,0.12,2016-03-13 01:25:00
478.28854,5.44,3.569986,102116.0,0.776312,2.49,0.59659714,0.1,2016-03-13 01:30:00
483.27023,5.37,4.374997,99125.0,0.82595354,2.51,0.43456894,0.14,2016-03-13 01:35:00
480.38806,5.0,4.8894987,89226.0,0.90065885,2.31,0.27415785,0.03,2016-03-13 01:40:00
480.37262,5.02,4.894946,93075.0,0.8633268,2.32,0.2855573,0.02,2016-03-13 01:45:00
477.61734,4.88,4.871201,88995.0,0.8868822,2.22,0.26717174,0.04,2016-03-13 01:50:00
476.18787,4.96,4.7938604,89494.0,0.8737461,2.25,0.2855573,0.08,2016-03-13 01:55:00
476.31403,4.88,4.949697,84689.0,0.9240815,2.21,0.24551268,0.11,2016-03-13 02:00:00
470.24133,4.67,5.126246,78684.0,0.9556599,2.06,0.17897695,0.03,2016-03-13 02:05:00
470.60065,4.91,4.884066,87564.0,0.86078936,2.17,0.26951295,0.05,2016-03-13 02:10:00
471.82507,4.87,4.3448935,86394.0,0.8795326,2.17,0.30319607,0.17,2016-03-13 02:15:00
469.40582,4.95,4.4601903,95745.0,0.7810332,2.18,0.3598355,0.04,2016-03-13 02:20:00
468.66882,4.95,4.421979,91951.0,0.80929124,2.18,0.365488,0.03,2016-03-13 02:25:00
467.85745,5.23,4.4454584,105404.0,0.7022013,2.29,0.40823996,0.04,2016-03-13 02:30:00
464.50345,5.15,4.5110307,103584.0,0.6987135,2.22,0.38738984,0.04,2016-03-13 02:35:00
463.21338,5.2,4.525428,118957.0,0.60317284,2.23,0.41664052,0.05,2016-03-13 02:40:00
464.11835,5.25,4.571422,107367.0,0.67235655,2.26,0.39093512,0.02,2016-03-13 02:45:00
463.3555,5.23,4.562861,96880.0,0.74133146,2.24,0.372912,0.04,2016-03-13 02:50:00
462.54468,5.27,4.499544,93653.0,0.76270556,2.26,0.38021126,0.02,2016-03-13 02:55:00
459.3088,5.18,4.5566106,109186.0,0.6400596,2.18,0.39093512,0.02,2016-03-13 03:00:00
459.24835,5.39,4.392994,117850.0,0.5927614,2.27,0.45484486,0.08,2016-03-13 03:05:00
461.66772,5.69,4.289394,107319.0,0.6616623,2.43,0.48000696,0.03,2016-03-13 03:10:00
460.4284,5.48,4.3084216,101558.0,0.6933695,2.32,0.44870633,0.01,2016-03-13 03:15:00
462.63785,5.81,4.3323092,95703.0,0.74683625,2.49,0.46089786,0.05,2016-03-13 03:20:00
462.34628,5.9,4.3398156,95564.0,0.7464562,2.52,0.46389303,0.03,2016-03-13 03:25:00
462.51865,5.89,4.377739,94861.0,0.75286114,2.52,0.45331836,0.01,2016-03-13 03:30:00
461.8767,5.84,4.4938736,94020.0,0.7563183,2.49,0.42813483,0.03,2016-03-13 03:35:00
460.80573,5.82,4.544733,94395.0,0.74788934,2.47,0.41161972,0.02,2016-03-13 03:45:00
463.546,5.8,4.5860114,95834.0,0.7503822,2.49,0.40312052,0.03,2016-03-13 03:50:00
461.9186,5.66,4.6667976,96953.0,0.73364556,2.42,0.38201708,0.07,2016-03-13 03:55:00
459.50952,5.39,4.85033,110900.0,0.63102484,2.28,0.35024804,0.06,2016-03-13 04:00:00
462.9553,5.28,5.035881,105111.0,0.68144387,2.26,0.28780174,0.13,2016-03-13 04:05:00
461.22766,4.95,5.288648,90729.0,0.78032875,2.11,0.20139715,0.08,2016-03-13 04:10:00
461.183,5.04,5.1318808,88756.0,0.7974346,2.14,0.20951504,0.11,2016-03-13 04:15:00
461.57996,4.87,5.289669,96844.0,0.7327964,2.08,0.20139715,0.01,2016-03-13 04:20:00
460.98688,4.91,5.3688827,98908.0,0.7146383,2.09,0.20412001,0.03,2016-03-13 04:25:00
461.71292,5.1,5.4122543,92389.0,0.7688208,2.18,0.19589968,0.01,2016-03-13 04:30:00
459.26056,4.93,5.4286737,99497.0,0.702159,2.08,0.19312459,0.01,2016-03-13 04:35:00
460.91882,4.8,5.477271,90281.0,0.7825673,2.04,0.16136801,0.04,2016-03-13 04:40:00
456.98425,4.62,5.434271,92360.0,0.7448072,1.93,0.1430148,0.03,2016-03-13 04:50:00
458.12778,5.33,4.30754,97300.0,0.7125146,2.24,0.39794004,0.43,2016-03-13 04:55:00
457.8044,6.03,4.2289596,98992.0,0.6987984,2.53,0.5010593,0.33,2016-03-13 05:00:00
455.20187,6.26,4.7553864,98866.0,0.6873809,2.59,0.4871384,0.44,2016-03-13 05:05:00
