V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
322.41217,8.74,5.031719,59409.0,0.39091986,1.82,0.41830128,0.16,2023-10-20 00:00:00
321.80627,8.73,4.970654,60380.0,0.38238758,1.81,0.43775058,0.15,2023-10-20 00:05:00
321.70978,8.62,4.7546296,56595.0,0.40758055,1.78,0.4578819,0.12,2023-10-20 00:10:00
320.6372,8.88,4.7488313,57787.0,0.39504483,1.83,0.47856653,0.05,2023-10-20 00:15:00
321.6345,8.92,4.741192,57355.0,0.40188685,1.84,0.48572144,0.06,2023-10-20 00:20:00
321.5676,9.08,4.263672,56766.0,0.40579394,1.88,0.518514,0.1,2023-10-20 00:25:00
323.0661,9.26,3.8473496,55707.0,0.4195363,1.94,0.580925,0.18,2023-10-20 00:30:00
322.6426,9.29,4.121662,55082.0,0.4225677,1.93,0.6106602,0.17,2023-10-20 00:35:00
321.32043,8.21,4.5889106,59279.0,0.38766223,1.7,0.4756712,0.09,2023-10-20 00:40:00
325.33728,9.82,3.7695358,53652.0,0.44520956,2.08,0.70927,0.32,2023-10-20 00:45:00
327.95862,9.89,4.2150445,48907.0,0.50075907,2.13,0.60097295,0.11,2023-10-20 00:50:00
329.80038,9.31,4.6846347,37323.0,0.6677203,2.03,0.45178646,0.29,2023-10-20 00:55:00
328.62137,8.93,4.135142,51186.0,0.48147976,1.93,0.5865873,0.08,2023-10-20 01:00:00
325.15176,8.12,3.8501558,61115.0,0.39014983,1.72,0.5865873,0.16,2023-10-20 01:05:00
326.7465,10.94,3.9018328,42045.0,0.5758103,2.34,0.70415056,0.07,2023-10-20 01:10:00
326.04825,10.56,4.0482836,42166.0,0.57034725,2.24,0.6304279,0.17,2023-10-20 01:15:00
326.83875,10.76,3.868488,41384.0,0.5855218,2.3,0.69810057,0.1,2023-10-20 01:20:00
327.90225,9.95,4.1818776,41731.0,0.58655506,2.14,0.57170886,0.19,2023-10-20 01:25:00
326.10812,10.45,3.953897,44315.0,0.54299915,2.22,0.67209786,0.04,2023-10-20 01:30:00
330.11703,10.29,3.8324013,41050.0,0.60891306,2.25,0.6384893,0.07,2023-10-20 01:35:00
329.30573,10.13,3.9651608,39734.0,0.62428004,2.2,0.6334685,0.11,2023-10-20 01:40:00
332.7064,10.41,4.2160406,40011.0,0.64010626,2.3,0.5998831,0.13,2023-10-20 01:45:00
335.1015,10.06,4.4076524,36902.0,0.7097075,2.26,0.5440681,0.08,2023-10-20 01:50:00
335.80304,9.97,4.6629605,38048.0,0.6928271,2.25,0.49968714,0.08,2023-10-20 01:55:00
338.2343,10.15,4.515418,41582.0,0.64834243,2.32,0.53781915,0.12,2023-10-20 02:00:00
339.0491,9.7,4.586513,48652.0,0.5582927,2.23,0.53019977,0.06,2023-10-20 02:05:00
338.35583,9.66,4.647989,50181.0,0.5378437,2.21,0.5065051,0.07,2023-10-20 02:10:00
339.78622,9.91,4.557949,51585.0,0.5301214,2.29,0.5526682,0.02,2023-10-20 02:15:00
338.48236,10.3,4.7077913,53008.0,0.50975263,2.36,0.5440681,0.01,2023-10-20 02:20:00
333.65408,6.15,4.631943,58140.0,0.4444287,1.37,0.33645976,0.06,2023-10-20 02:30:00
333.2952,9.51,4.436271,44182.0,0.58287674,2.12,0.50242716,0.06,2023-10-20 02:35:00
333.9907,9.77,4.359002,47581.0,0.5447619,2.18,0.54282546,0.04,2023-10-20 02:40:00
335.21722,9.74,4.2898135,42827.0,0.6121791,2.19,0.53147894,0.05,2023-10-20 02:45:00
339.0326,9.96,4.426624,39787.0,0.6825832,2.29,0.51719594,0.06,2023-10-20 02:50:00
