V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
409.69977,5.12,6.7259274,50880.0,0.9623076,1.72,-0.07572073,0.05,2024-05-10 00:20:00
410.10287,5.02,6.800125,50880.0,0.96525824,1.69,-0.09691001,0.06,2024-05-10 00:25:00
411.50146,5.21,6.675942,55179.0,0.8995379,1.77,-0.05061,0.02,2024-05-10 00:30:00
411.6187,5.09,6.704819,55544.0,0.89441955,1.73,-0.06550154,0.01,2024-05-10 00:35:00
397.385,5.38,6.5576673,52650.0,0.8456724,1.7,-0.0409586,0.03,2024-05-10 00:40:00
396.7909,5.36,6.4115987,53367.0,0.8304338,1.69,-0.036212165,0.03,2024-05-10 00:45:00
404.85413,5.3,6.2791877,52651.0,0.896126,1.75,-0.026872149,0.05,2024-05-10 00:50:00
403.99857,5.38,6.1375647,59802.0,0.7837903,1.76,0.008600163,0.05,2024-05-10 00:55:00
404.26755,4.98,6.216623,59170.0,0.7938052,1.63,-0.036212165,0.07,2024-05-10 01:00:00
390.2218,5.42,6.1727624,56650.0,0.742691,1.65,0.012837212,0.09,2024-05-10 01:05:00
392.26944,5.8,6.1020246,71644.0,0.596903,1.79,0.08278538,0.07,2024-05-10 01:15:00
393.5095,5.47,6.0686817,53792.0,0.80284745,1.7,0.033423774,0.1,2024-05-10 01:20:00
398.79855,5.51,6.0873885,60275.0,0.74690247,1.76,0.049218025,0.05,2024-05-10 01:25:00
401.50742,5.12,6.1337423,60109.0,0.7649161,1.65,0.008600163,0.06,2024-05-10 01:30:00
398.2856,5.41,5.505361,59651.0,0.7516979,1.72,0.033423774,0.59,2024-05-10 01:35:00
396.43015,4.76,4.924896,58893.0,0.7503856,1.5,0.10380372,0.13,2024-05-10 01:45:00
397.04855,5.22,4.4953866,66284.0,0.6699567,1.65,0.16136801,0.28,2024-05-10 01:50:00
401.95795,5.15,5.1973166,66084.0,0.6981892,1.66,0.14612804,0.18,2024-05-10 01:55:00
408.1738,5.72,5.227667,69300.0,0.6983657,1.91,0.17897695,0.09,2024-05-10 02:00:00
406.7214,5.67,4.837861,60487.0,0.7912883,1.85,0.21218762,0.08,2024-05-10 02:05:00
451.94064,3.69,3.389469,10224.0,6.499841,1.51,-0.08092192,0.33,2024-05-10 02:10:00
428.15677,5.52,6.2594647,56280.0,0.9978855,2.02,0.049218025,0.12,2024-05-10 02:15:00
427.94116,6.11,5.589159,67088.0,0.8358126,2.24,0.096910015,0.11,2024-05-10 02:20:00
430.32816,7.86,6.2991505,47771.0,1.1942892,2.91,0.17897695,0.11,2024-05-10 02:30:00
429.31805,8.21,6.101123,43778.0,1.2937216,3.03,0.19865711,0.04,2024-05-10 02:35:00
433.50504,8.04,6.269083,49141.0,1.1878839,3.02,0.17318627,0.06,2024-05-10 02:40:00
436.09613,8.32,6.3342643,56280.0,1.0566244,3.16,0.20951504,0.04,2024-05-10 02:45:00
434.01004,7.77,6.245142,53723.0,1.0905154,2.93,0.15228835,0.11,2024-05-10 02:50:00
428.2141,9.35,6.265221,41056.0,1.3684824,3.44,0.20139715,0.23,2024-05-10 03:05:00
429.52716,12.91,3.0980802,34558.0,1.6413696,4.76,0.35218254,1.19,2024-05-10 03:10:00
430.2518,12.83,5.968944,27707.0,2.0579956,4.75,0.35602587,0.11,2024-05-10 03:20:00
429.29843,13.51,5.900932,28489.0,1.9877316,4.98,0.43933272,0.35,2024-05-10 03:25:00
431.75635,9.68,6.4800386,26176.0,2.202166,3.61,0.16435286,0.02,2024-05-10 03:35:00
431.25766,9.86,6.4119105,28163.0,2.0394452,3.67,0.19312459,0.12,2024-05-10 03:40:00
430.15082,9.71,6.269426,29282.0,1.9458792,3.59,0.15836251,0.19,2024-05-10 03:45:00
433.3995,12.66,4.4864573,58893.0,0.9904332,4.76,0.92324406,1.05,2024-05-10 03:55:00
431.74435,11.64,4.6806836,49358.0,1.1677724,4.34,0.6211763,0.45,2024-05-10 04:00:00
433.30405,12.41,4.0927987,63903.0,0.9121573,4.66,0.94939,0.54,2024-05-10 04:05:00
433.30405,12.41,3.1610916,63903.0,0.9121573,4.66,0.9849771,0.27,2024-05-10 04:10:00
434.7717,12.58,2.8313425,60516.0,0.97340214,4.76,0.9258276,0.18,2024-05-10 04:15:00
431.74677,12.2,3.2917473,60413.0,0.95409805,4.55,0.90036714,0.18,2024-05-10 04:40:00
432.41022,12.92,3.0571392,55544.0,1.0427066,4.83,1.1655412,0.45,2024-05-10 04:45:00
431.6329,12.3,3.0602942,54814.0,1.0506918,4.58,1.0374265,0.21,2024-05-10 04:50:00
431.4321,12.72,2.7785788,53631.0,1.0723137,4.73,1.0759118,0.28,2024-05-10 04:55:00
429.9703,12.63,1.9350711,53008.0,1.0735141,4.67,1.2281437,0.24,2024-05-10 05:00:00
430.3822,12.92,1.1213385,57021.0,1.0009418,4.79,1.5616976,0.16,2024-05-10 05:05:00
431.8025,10.2,0.48672375,61150.0,0.9429776,3.8,1.6412759,0.21,2024-05-10 05:10:00
429.96945,9.68,0.9295698,61540.0,0.9246747,3.58,1.6172101,0.21,2024-05-10 05:15:00
430.1634,11.67,0.97800815,59859.0,0.95197743,4.32,1.803662,0.21,2024-05-10 05:20:00
429.98172,11.18,0.9207605,60796.0,0.93607366,4.13,1.7859702,0.1,2024-05-10 05:30:00
429.98172,11.18,1.2980754,60796.0,0.93607366,4.13,1.8937618,0.32,2024-05-10 05:35:00
428.85477,12.28,1.1043097,58140.0,0.9708719,4.52,2.028856,0.34,2024-05-10 05:40:00
429.13077,12.25,1.0132127,55912.0,1.0115836,4.51,2.165986,0.35,2024-05-10 05:45:00
424.8181,9.82,1.1093692,62250.0,0.8804646,3.55,1.4913617,0.41,2024-05-10 05:55:00
424.59677,9.25,1.0573552,62517.0,0.87528306,3.33,1.5707765,0.16,2024-05-10 06:00:00
428.3416,11.52,1.2856516,59271.0,0.94880307,4.23,1.596817,0.19,2024-05-10 06:10:00
420.97235,8.9,1.4716657,65884.0,0.80867976,3.15,1.5177237,0.2,2024-05-10 06:15:00
421.3258,9.17,1.3256696,63119.0,0.8463132,3.26,1.449941,0.14,2024-05-10 06:25:00
421.3258,9.17,1.3536618,63119.0,0.8463132,3.26,1.4828737,0.12,2024-05-10 06:30:00
420.7951,9.06,1.4368368,61565.0,0.8642779,3.21,1.502154,0.18,2024-05-10 06:40:00
421.22302,9.15,1.5468031,67896.0,0.7861713,3.25,1.4707046,0.15,2024-05-10 06:45:00
423.5335,9.17,1.3485548,59271.0,0.91604036,3.29,1.7857568,0.51,2024-05-10 07:20:00
417.66074,9.22,1.7789042,60071.0,0.86539507,3.22,1.3172274,0.08,2024-05-10 07:45:00
416.3292,8.89,2.0638797,61952.0,0.83081985,3.08,1.2533381,0.2,2024-05-10 07:55:00
417.57373,9.32,1.9574984,52961.0,0.98093766,3.25,1.2132521,0.14,2024-05-10 08:00:00
415.39923,9.07,1.8681809,57582.0,0.88767123,3.13,1.2245331,0.15,2024-05-10 08:05:00
418.69,8.96,1.3885603,56291.0,0.9306103,3.14,1.3432117,0.16,2024-05-10 08:10:00
423.16766,8.05,1.3814847,48532.0,1.1157333,2.88,1.0958666,0.42,2024-05-10 08:15:00
414.999,9.08,1.6978222,50300.0,1.0131359,3.13,1.2617387,0.22,2024-05-10 08:20:00
412.42587,9.2,1.6050545,55741.0,0.89671034,3.13,1.2869054,0.34,2024-05-10 08:25:00
