V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
306.0572,5.0,3.2854073,25905.0,0.7623863,0.93,0.47129175,0.07,2020-07-10 00:00:00
305.7434,4.8,3.3727288,23617.0,0.83357966,0.9,0.4313638,0.08,2020-07-10 00:05:00
306.02133,4.96,3.2884343,25066.0,0.7876174,0.93,0.46389303,0.02,2020-07-10 00:10:00
307.5845,5.01,3.1990469,27191.0,0.7376722,0.95,0.4899585,0.06,2020-07-10 00:15:00
305.2895,5.02,3.1703944,28829.0,0.6797257,0.94,0.5065051,0.05,2020-07-10 00:20:00
302.6178,4.88,3.03193,25426.0,0.74989706,0.9,0.50515,0.08,2020-07-10 00:25:00
303.76202,5.21,3.0048127,26885.0,0.71758264,0.96,0.5526682,0.03,2020-07-10 00:30:00
301.9712,5.09,3.0537517,30450.0,0.6220147,0.93,0.5526682,0.04,2020-07-10 00:35:00
300.76538,5.06,2.7901433,31791.0,0.5884023,0.92,0.59106463,0.08,2020-07-10 00:40:00
292.90997,5.11,2.3379693,37001.0,0.46557018,0.88,0.7032914,0.1,2020-07-10 00:45:00
295.121,5.13,2.4339678,36746.0,0.47990534,0.9,0.7387806,0.08,2020-07-10 00:50:00
294.9416,5.13,2.6130633,36564.0,0.48138186,0.89,0.673942,0.06,2020-07-10 00:55:00
295.68665,5.14,3.0044801,35387.0,0.5013149,0.9,0.5728716,0.06,2020-07-10 01:00:00
300.80942,5.09,2.9930918,31727.0,0.589858,0.92,0.5728716,0.02,2020-07-10 01:05:00
301.58417,5.09,3.05,30628.0,0.61593574,0.93,0.55022836,0.02,2020-07-10 01:15:00
301.6349,5.31,3.01181,33056.0,0.57099336,0.97,0.59659714,0.01,2020-07-10 01:20:00
301.71698,5.42,3.1848075,34270.0,0.55123293,0.99,0.60422605,0.16,2020-07-10 01:25:00
300.4491,5.55,2.8096976,33393.0,0.55834234,1.0,0.6222141,0.07,2020-07-10 01:55:00
299.88745,5.21,2.928822,31122.0,0.5956058,0.94,0.5820634,0.07,2020-07-10 02:00:00
299.42487,5.15,3.0421374,28584.0,0.64538115,0.93,0.4983106,0.13,2020-07-10 02:05:00
298.46796,5.24,3.3793936,27296.0,0.66913366,0.94,0.4578819,0.07,2020-07-10 02:10:00
297.65875,5.22,3.2437325,27803.0,0.65140295,0.92,0.46686766,0.11,2020-07-10 02:15:00
295.98807,5.43,3.218167,27722.0,0.64195895,0.95,0.5010593,0.07,2020-07-10 02:20:00
296.3249,5.41,3.237916,31603.0,0.5651206,0.95,0.51587385,0.09,2020-07-10 02:25:00
296.8857,5.48,3.347387,29180.0,0.6156592,0.97,0.48429987,0.13,2020-07-10 02:30:00
296.6907,5.47,3.3549664,29680.0,0.6040508,0.96,0.48144266,0.06,2020-07-10 02:35:00
295.13153,5.12,3.2208848,28298.0,0.623244,0.89,0.46982205,0.06,2020-07-10 02:40:00
297.89273,5.48,2.684958,27528.0,0.6595217,0.97,0.54530716,0.17,2020-07-10 02:45:00
299.01242,4.95,2.9851298,33127.0,0.5544899,0.89,0.51587385,0.21,2020-07-10 02:50:00
297.53613,5.59,3.0894983,33582.0,0.53861415,0.99,0.5854607,0.09,2020-07-10 02:55:00
302.18704,5.55,2.9093127,35033.0,0.54184693,1.01,0.6364879,0.08,2020-07-10 03:00:00
306.02603,6.1,2.9242775,44180.0,0.4468846,1.14,0.68304706,0.08,2020-07-10 03:05:00
301.75436,6.16,2.7190256,36636.0,0.51583254,1.12,0.69897,0.11,2020-07-10 03:10:00
304.32373,6.04,2.7135954,38189.0,0.5080908,1.12,0.69196516,0.06,2020-07-10 03:15:00
306.00806,6.52,2.1562235,40626.0,0.48588952,1.22,0.7839036,0.2,2020-07-10 03:20:00
305.2185,6.11,2.5503922,37511.0,0.52202374,1.14,0.6963564,0.13,2020-07-10 03:25:00
304.0066,6.76,2.0842505,41240.0,0.46897686,1.25,0.9143432,0.15,2020-07-10 03:30:00
306.3008,6.93,2.2827616,39018.0,0.50742215,1.3,0.8481891,0.09,2020-07-10 03:35:00
305.20096,7.08,2.2924442,38024.0,0.51488864,1.32,0.8597386,0.09,2020-07-10 03:40:00
306.7029,7.5,2.7936537,39039.0,0.50922465,1.41,0.77524626,0.11,2020-07-10 03:45:00
300.81097,5.83,2.835789,33411.0,0.56013656,1.06,0.65705585,0.05,2020-07-10 03:50:00
308.3209,7.51,2.7168179,37511.0,0.53871965,1.43,0.83442074,0.09,2020-07-10 03:55:00
308.4351,7.53,2.7304761,36837.0,0.5492093,1.44,0.8567289,0.11,2020-07-10 04:00:00
306.25626,7.37,3.0128725,36094.0,0.5482804,1.38,0.7419391,0.02,2020-07-10 04:05:00
305.95987,7.38,3.07602,36024.0,0.5476924,1.38,0.7299743,0.06,2020-07-10 04:10:00
305.85236,7.31,3.1542668,35796.0,0.5505783,1.37,0.69983774,0.04,2020-07-10 04:15:00
305.12286,7.34,3.1967797,35050.0,0.55813223,1.37,0.6812413,0.06,2020-07-10 04:20:00
305.6231,7.4,2.8825336,38380.0,0.5123124,1.38,0.7831887,0.12,2020-07-10 04:25:00
305.42725,7.48,3.014465,39256.0,0.4998816,1.4,0.7737865,0.39,2020-07-10 04:30:00
307.64996,7.38,3.316459,38139.0,0.526268,1.4,0.65513843,0.02,2020-07-10 04:35:00
306.22433,7.38,3.3543108,38706.0,0.51111484,1.38,0.6493349,0.05,2020-07-10 04:40:00
305.3334,7.26,3.264353,36869.0,0.5317364,1.36,0.6702459,0.07,2020-07-10 04:45:00
305.04303,7.31,3.2680576,34848.0,0.56091034,1.36,0.6748612,0.05,2020-07-10 04:50:00
306.83136,7.32,3.3401346,44760.0,0.44471732,1.38,0.66370094,0.07,2020-07-10 04:55:00
305.80518,7.03,3.1691957,40898.0,0.48166266,1.31,0.6910815,0.05,2020-07-10 05:00:00
306.0121,6.97,3.2093925,39649.0,0.49788284,1.31,0.61489725,0.14,2020-07-10 05:05:00
313.2277,6.72,3.2924762,31242.0,0.67940545,1.32,0.5774918,0.04,2020-07-10 05:10:00
315.45026,6.98,3.251369,31276.0,0.69377065,1.39,0.6053051,0.03,2020-07-10 05:15:00
314.84122,7.13,3.4338608,28172.0,0.7655906,1.41,0.5820634,0.08,2020-07-10 05:20:00
314.94635,7.25,3.540819,26060.0,0.82849777,1.44,0.5670264,0.03,2020-07-10 05:25:00
318.05276,7.06,3.520469,27587.0,0.8069204,1.43,0.55022836,0.07,2020-07-10 05:30:00
318.02646,7.19,3.716248,26281.0,0.84680104,1.45,0.51587385,0.08,2020-07-10 05:35:00
318.63766,7.24,3.7690582,25053.0,0.8936334,1.47,0.50379074,0.04,2020-07-10 05:40:00
318.96024,7.07,3.7456508,28144.0,0.797997,1.44,0.51719594,0.01,2020-07-10 05:45:00
318.2556,7.32,3.6473687,27448.0,0.81261796,1.48,0.5575072,0.08,2020-07-10 05:50:00
318.52603,7.48,3.429592,29549.0,0.75683737,1.52,0.61804813,0.03,2020-07-10 05:55:00
318.1313,7.05,3.4440672,34270.0,0.6500621,1.43,0.5774918,0.09,2020-07-10 06:00:00
312.7321,6.41,3.4383426,29549.0,0.71479946,1.25,0.5587086,0.06,2020-07-10 06:05:00
311.61862,6.8,3.553449,29371.0,0.7111908,1.32,0.53019977,0.11,2020-07-10 06:10:00
307.8147,6.93,3.6557624,30086.0,0.6682447,1.31,0.5538831,0.08,2020-07-10 06:15:00
315.00485,7.45,3.3484623,34617.0,0.6240615,1.48,0.61700034,0.05,2020-07-10 06:20:00
